id,link
114,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-100g-08000-charleville-mezieres-290228
115,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-bastille-automatique-63170-aubiere-63174
116,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-bluehdi-100ch-so-chic-s-s-86500-montmorillon-3211703
117,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-puretech-225ch-performance-line-automatique-01000-bourg-en-bresse-155112
118,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-08000-charleville-mezieres-230142
119,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-255943
120,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-08000-charleville-mezieres-230061
121,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-rivoli-86400-civray-2302092
122,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-98g-86400-civray-2301023
123,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-59640-dunkerque-600384
124,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-executive-automatique-128g-62114-sains-en-gohelle-222424
125,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-puretech-110ch-cafe-racer-automatique-51100-reims-256709
126,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-puretech-130ch-business-69200-venissieux-614957
127,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-155ch-grand-chic-automatique-119g-80136-rivery-947033
128,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-5-bluehdi-120ch-so-chic-s-s-60400-noyon-136919
129,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-grand-chic-automatique-114g-07430-davezieux-402409
130,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-08000-charleville-mezieres-230081
131,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-51100-reims-255555
132,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-4-puretech-180ch-performance-line-automatique-86000-poitiers-st38493562
133,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-puretech-130ch-givenchy-le-makeup-s-s-44700-orvault-703612
134,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-26000-valence-435583
135,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-16430-champniers-046855
136,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-so-chic-automatique-57180-terville-221402
137,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-executive-automatique-38170-seyssinet-pariset-320142
138,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-puretech-225ch-performance-line-automatique-79000-niort-3209014
139,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-4-bluehdi-120ch-business-s-s-63000-clermont-ferrand-131830
140,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-38320-eybens-320135
141,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-grand-chic-automatique-7cv-38170-seyssinet-pariset-320094
142,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-98g-51100-reims-256394
143,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-la-premiere-eat8-86000-poitiers-120151
144,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-86000-poitiers-21087
145,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-e-tense-4x4-grand-chic-86000-poitiers-210251
146,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-79000-niort-3211002
147,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-51100-reims-255432
148,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-so-chic-automatique-98g-51100-reims-256820
149,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-bluehdi-100ch-so-chic-s-s-71200-le-creusot-607147
150,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-38170-seyssinet-pariset-320113
151,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-connected-chic-automatique-86000-poitiers-3211001
152,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-63000-clermont-ferrand-131091
153,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-51530-dizy-304081
154,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-business-automatique-100g-71100-chalon-sur-saone-607297
155,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-7cv-86000-poitiers-21059
156,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-rivoli-73209-albertville-035785
157,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-51100-reims-254557
158,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-155ch-performance-line-automatique-119g-62800-lievin-a24909
159,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-bvm-71000-sance-319760
160,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-e-tense-grand-chic-4cv-08000-charleville-mezieres-290178
161,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-255801
162,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-130ch-bastille-automatique-86000-poitiers-3207307
163,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-bluehdi-100ch-so-chic-s-s-44400-reze-105965
164,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-71000-sance-319413
165,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-73000-chambery-400034
166,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-86000-poitiers-st38322418
167,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-4-crossback-puretech-130-sport-chic-s-s-77100-nanteuil-les-meaux-m034766
168,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-71000-sance-319901
169,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-grand-chic-86000-poitiers-21050
170,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-38170-seyssinet-pariset-320132
171,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-38170-seyssinet-pariset-310098
172,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-performance-line-86000-poitiers-st37976721
173,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-86000-poitiers-21016
174,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-4x4-360ch-rivoli-79000-niort-3209024
175,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-rivoli-79000-niort-3207003
176,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-7cv-63170-aubiere-63210
177,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-51530-dizy-304082
178,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-so-chic-4cv-84000-avignon-56390
