model,price,fuel,counter,release,type
DS 7 CROSSBACK,24 980 €,Essence,40 648 Km,2018,Manuelle
DS 3 CROSSBACK,22 990 €,Essence,100 309 Km,2019,Automatique
DS 5,16 790 €,Diesel,63 090 Km,2018,Manuelle
DS 3 CROSSBACK,28 990 €,Essence,23 459 Km,2020,Automatique
DS 3 CROSSBACK,24 902 €,Essence,44 641 Km,2019,Automatique
DS 3 CROSSBACK,29 979 €,Electrique,12 500 Km,2021,Automatique
DS 4,42 990 €,Essence,19 650 Km,2021,Automatique
DS 3,14 490 €,Essence,64 461 Km,2017,Manuelle
DS 7 CROSSBACK,34 980 €,Diesel,36 366 Km,2019,Automatique
DS 3 CROSSBACK,32 390 €,Essence,15 186 Km,2022,Automatique
DS 3 CROSSBACK,24 490 €,Diesel,40 622 Km,2019,Automatique
DS 7 CROSSBACK,28 980 €,Diesel,94 226 Km,2019,Automatique
DS 4,40 299 €,Essence,29 241 Km,2021,Automatique
DS 4,14 690 €,Diesel,95 343 Km,2018,Manuelle
DS 3 CROSSBACK,23 980 €,Essence,39 395 Km,2021,Manuelle
DS 7 CROSSBACK,34 990 €,Diesel,35 153 Km,2021,Automatique
DS 3 CROSSBACK,22 840 €,Diesel,74 200 Km,2019,Automatique
DS 7 CROSSBACK,32 999 €,Diesel,60 600 Km,2018,Automatique
DS 7 CROSSBACK,31 499 €,Diesel,89 442 Km,2019,Automatique
DS 7 CROSSBACK,41 999 €,Hybride rechargeable,65 972 Km,2020,Automatique
DS 7 CROSSBACK,33 799 €,Diesel,65 544 Km,2019,Automatique
DS 7 CROSSBACK,57 842 €,Hybride rechargeable,4 700 Km,2021,Automatique
DS 3 CROSSBACK,24 452 €,Diesel,39 800 Km,2020,Automatique
DS 3,11 679 €,Diesel,83 982 Km,2016,Manuelle
DS 3 CROSSBACK,23 980 €,Essence,20 797 Km,2019,Manuelle
DS 3 CROSSBACK,27 999 €,Essence,19 884 Km,2020,Automatique
DS 7 CROSSBACK,45 999 €,Hybride rechargeable,32 919 Km,2021,Automatique
DS 7 CROSSBACK,42 493 €,Diesel,20 250 Km,2021,Automatique
DS 7 CROSSBACK,27 980 €,Diesel,56 600 Km,2019,Automatique
DS 3 CROSSBACK,31 999 €,Essence,9 999 Km,2021,Automatique
DS 7 CROSSBACK,52 990 €,Hybride rechargeable,13 972 Km,2021,Automatique
DS 7 CROSSBACK,49 990 €,Hybride,17 900 Km,2021,Automatique
DS 3 CROSSBACK,20 990 €,Essence,72 627 Km,2019,Automatique
DS 3 CROSSBACK,22 980 €,Essence,53 099 Km,2020,Manuelle
DS 3 CROSSBACK,42 900 €,Electrique,5 000 Km,2021,Automatique
DS 7 CROSSBACK,44 872 €,Diesel,500 Km,2022,Automatique
DS 3 CROSSBACK,30 499 €,Essence,10 Km,2022,Automatique
DS 3,13 299 €,Diesel,85 978 Km,2017,Manuelle
DS 7 CROSSBACK,40 490 €,Diesel,15 210 Km,2021,Automatique
DS 3 CROSSBACK,27 980 €,Essence,34 200 Km,2020,Automatique
DS 3 CROSSBACK,33 690 €,Diesel,10 Km,2022,Automatique
DS 4 CROSSBACK,14 980 €,Essence,92 065 Km,2016,Manuelle
DS 3 CROSSBACK,28 680 €,Diesel,39 526 Km,2021,Automatique
DS 7 CROSSBACK,47 999 €,Hybride rechargeable,10 789 Km,2021,Automatique
