brand,model,characteristics,price,alink
DS,Ds 3 crossback,Diesel/22 494 km/2020/Manuelle,23 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-100ch-performance-line-38170-seyssinet-pariset-320151
DS,Ds 3 crossback,Essence/24 900 km/2019/Manuelle,22 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-100ch-so-chic-08000-charleville-mezieres-020334
DS,Ds 7 crossback,Hybride R/41 137 km/2021/Automatique,49 490 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-grand-chic-08000-charleville-mezieres-230171
DS,Ds 3 crossback,Essence/50 050 km/2021/Manuelle,21 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-73000-chambery-400023
DS,Ds 7 crossback,Diesel/42 348 km/2021/Automatique,34 472 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-08000-charleville-mezieres-221234
DS,Ds 7 crossback,Diesel/3 477 km/2021/Automatique,36 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-86100-chatellerault-3206303
DS,Ds 7 crossback,Hybride R/30 906 km/2021/Automatique,45 482 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-performance-line-08000-charleville-mezieres-230011
DS,Ds 3 crossback,Diesel/30 799 km/2021/Automatique,29 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-79000-niort-3211030
DS,Ds 7 crossback,Hybride R/20 162 km/2021/Automatique,45 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-performance-line-73000-chambery-220974
DS,Ds 3 crossback,Essence/20 729 km/2021/Automatique,26 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-so-chic-automatique-7cv-74600-seynod-155190
DS,Ds 3 crossback,Essence/48 400 km/2019/Automatique,26 852 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-grand-chic-automatique-119g-51100-reims-256671
DS,Ds 7 crossback,Diesel/9 000 km/2021/Automatique,42 200 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-100g-08000-charleville-mezieres-290228
DS,Ds 3 crossback,Diesel/10 km/2022/Automatique,30 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-bastille-automatique-63170-aubiere-63174
DS,Ds 3,Diesel/68 634 km/2017/Manuelle,13 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-bluehdi-100ch-so-chic-s-s-86500-montmorillon-3211703
DS,Ds 7 crossback,Essence/80 868 km/2017/Automatique,28 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-puretech-225ch-performance-line-automatique-01000-bourg-en-bresse-155112
DS,Ds 3 crossback,Electrique/20 514 km/2020/Automatique,28 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-08000-charleville-mezieres-230142
DS,Ds 7 crossback,Diesel/11 300 km/2022/Automatique,42 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-255943
DS,Ds 3 crossback,Essence/40 376 km/2020/Automatique,26 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-08000-charleville-mezieres-230061
DS,Ds 7 crossback,Hybride R/13 459 km/2021/Automatique,54 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-rivoli-86400-civray-2302092
DS,Ds 3 crossback,Diesel/94 978 km/2020/Automatique,23 880 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-98g-86400-civray-2301023
DS,Ds 3 crossback,Electrique/8 489 km/2021/Automatique,31 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-59640-dunkerque-600384
DS,Ds 7 crossback,Diesel/110 158 km/2018/Automatique,28 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-executive-automatique-128g-62114-sains-en-gohelle-222424
DS,Ds 3,Essence/38 000 km/2019/Automatique,19 452 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-puretech-110ch-cafe-racer-automatique-51100-reims-256709
DS,Ds 7 crossback,Essence/40 648 km/2018/Manuelle,24 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-puretech-130ch-business-69200-venissieux-614957
DS,Ds 3 crossback,Essence/100 309 km/2019/Automatique,22 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-155ch-grand-chic-automatique-119g-80136-rivery-947033
DS,Ds 5,Diesel/63 090 km/2018/Manuelle,16 790 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-5-bluehdi-120ch-so-chic-s-s-60400-noyon-136919
DS,Ds 3 crossback,Essence/23 459 km/2020/Automatique,28 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-grand-chic-automatique-114g-07430-davezieux-402409
DS,Ds 3 crossback,Essence/44 641 km/2019/Automatique,24 902 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-08000-charleville-mezieres-230081
DS,Ds 3 crossback,Electrique/12 500 km/2021/Automatique,29 979 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-51100-reims-255555
DS,Ds 4,Essence/19 650 km/2021/Automatique,42 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-4-puretech-180ch-performance-line-automatique-86000-poitiers-st38493562
